code,locale,name,descr
vi,de,Vietnamesisch,"Austroasiatische Sprache, Amtssprache von Vietnam"
vo,de,Volapük,"Plansprache, geschaffen von Johann Martin Schleyer"
wa,de,Wallonisch,"Romanische Sprache, die in Wallonien, Belgien, gesprochen wird"
wo,de,Wolof,"Senegambische Sprache, die in Senegal, Gambia und Mauretanien gesprochen wird"
xh,de,Xhosa,"Nguni-Sprache, eine Amtssprache Südafrikas"
yi,de,Jiddisch,"Germanische Sprache, die von aschkenasischen Juden gesprochen wird"
yo,de,Yoruba,"Sprache, die in Westafrika, hauptsächlich in Nigeria, gesprochen wird"
za,de,Zhuang,"Gruppe von Tai-Sprachen, die vom Zhuang-Volk in Südchina gesprochen werden"
zh,de,Chinesisch,"Sinotibetische Makrosprache, die verschiedene Dialekte umfasst"
zu,de,Zulu,"Nguni-Sprache, eine Amtssprache Südafrikas"
